"","id","hasInAppPurchases"
"266",347393479,TRUE
"267",347400507,FALSE
"268",347411942,TRUE
"269",347418999,FALSE
"270",348530331,FALSE
"271",348543978,FALSE
"272",348684697,FALSE
"273",349079731,TRUE
"274",349442137,FALSE
"275",350480010,FALSE
"276",350962117,TRUE
"277",351091731,FALSE
"278",351184863,TRUE
"279",351331194,TRUE
"280",351707231,TRUE
"281",351727428,FALSE
"282",351939099,FALSE
"283",351986992,FALSE
"284",352000376,FALSE
"285",352199775,TRUE
"286",352247139,TRUE
"287",352509417,TRUE
"288",352670055,FALSE
"289",352683833,FALSE
"290",353372460,TRUE
"291",353573707,FALSE
"292",353642901,TRUE
"293",353665650,FALSE
"294",354051766,FALSE
"295",354850853,FALSE
"296",354972939,FALSE
"297",354974729,FALSE
"298",355524910,TRUE
"299",355554941,TRUE
"300",355940964,FALSE
"301",356618664,FALSE
"302",356968629,TRUE
"303",357218860,FALSE
"304",357404131,FALSE
"305",357421934,FALSE
"306",357467791,FALSE
"307",357577420,FALSE
"308",357828853,TRUE
"309",358055270,FALSE
"310",358207332,TRUE
"311",359891723,FALSE
"312",359917414,FALSE
"313",360593530,TRUE
"314",362179828,FALSE
"315",362348516,FALSE
"316",362949845,TRUE
"317",363201632,FALSE
"318",363306776,FALSE
"319",363317633,FALSE
"320",363360636,FALSE
"321",363486802,FALSE
"322",363486833,FALSE
"323",363590051,TRUE
"324",363738376,TRUE
"325",363992049,TRUE
"326",364017607,TRUE
"327",364165557,TRUE
"328",364183992,TRUE
"329",364191819,FALSE
"330",364204209,FALSE
"331",364234221,TRUE
"332",364500115,TRUE
"333",364502063,FALSE
"334",364738545,FALSE
"335",364740856,TRUE
"336",364762290,FALSE
"337",364899325,FALSE
"338",364901807,FALSE
"339",365152940,TRUE
"340",365235835,TRUE
"341",365724094,FALSE
"342",366195670,TRUE
"343",366247306,FALSE
"344",366562751,FALSE
"345",366626332,TRUE
"346",366869252,FALSE
"347",367003839,FALSE
"348",367242040,TRUE
"349",367287593,TRUE
"350",367623543,FALSE
"351",367706767,TRUE
"352",368494609,TRUE
"353",368677368,FALSE
"354",368948250,TRUE
"355",369111608,FALSE
"356",369266386,TRUE
"357",369692259,TRUE
"358",369820957,FALSE
"359",369838631,FALSE
"360",369849199,TRUE
"361",369970819,FALSE
"362",370139302,TRUE
"363",370144476,FALSE
"364",370406465,FALSE
"365",370697773,FALSE
"366",370899391,FALSE
"367",371338715,FALSE
"368",372283316,FALSE
"369",372513032,TRUE
"370",372648912,FALSE
"371",373203236,FALSE
"372",373236724,TRUE
"373",373311252,FALSE
"374",373342398,FALSE
"375",373454750,FALSE
"376",373493387,FALSE
"377",373515261,TRUE
"378",373563219,FALSE
"379",373714084,TRUE
"380",373903654,TRUE
"381",374151636,FALSE
"382",374211477,FALSE
"383",374308914,FALSE
"384",374791544,FALSE
"385",375295479,TRUE
"386",375380948,FALSE
"387",376183339,FALSE
"388",376197239,FALSE
"389",376202925,FALSE
"390",376374689,TRUE
"391",376412660,FALSE
"392",376436174,TRUE
"393",376510438,TRUE
"394",376561911,FALSE
"395",377342622,FALSE
"396",377677727,FALSE
"397",377704407,FALSE
"398",377831429,FALSE
"399",377908737,TRUE
"400",377989827,TRUE
"401",378352300,FALSE
"402",378781805,FALSE
"403",378782714,TRUE
"404",379256460,FALSE
"405",379323382,FALSE
"406",379395415,FALSE
"407",379693831,FALSE
"408",379869627,FALSE
"409",379937581,FALSE
"410",379983299,TRUE
"411",380090605,TRUE
"412",380641055,FALSE
"413",380834987,FALSE
"414",380908399,TRUE
"415",380932800,FALSE
"416",380974668,FALSE
"417",381059732,TRUE
"418",381342267,FALSE
"419",381471023,FALSE
"420",381477230,FALSE
"421",381722077,TRUE
"422",382002079,TRUE
"423",382013715,FALSE
"424",382045106,TRUE
"425",382201985,TRUE
"426",382497397,FALSE
"427",382509315,TRUE
"428",382596778,FALSE
"429",382617920,TRUE
"430",382991304,FALSE
"431",383298204,FALSE
"432",383718755,FALSE
"433",383819300,FALSE
"434",384282298,FALSE
"435",384830320,TRUE
"436",385145330,TRUE
"437",385285922,TRUE
"438",385533456,FALSE
"439",385724144,FALSE
"440",385756768,TRUE
"441",385919493,FALSE
"442",386239683,FALSE
"443",386241770,FALSE
"444",386505750,FALSE
"445",386592716,FALSE
"446",387109554,FALSE
"447",387310377,TRUE
"448",387428400,TRUE
"449",387682726,FALSE
"450",387893495,TRUE
"451",388130466,TRUE
"452",388336485,TRUE
"453",388389451,TRUE
"454",388459613,FALSE
"455",388462078,FALSE
"456",388491656,FALSE
"457",388497605,FALSE
"458",388624839,TRUE
"459",388838723,TRUE
"460",388932995,TRUE
"461",389359495,FALSE
"462",389481236,FALSE
"463",389638243,TRUE
"464",389781154,TRUE
"465",389784247,FALSE
"466",389801252,FALSE
"467",390017969,TRUE
"468",390109631,FALSE
"469",390422167,TRUE
"470",390523040,FALSE
"471",390577714,FALSE
"472",391071343,FALSE
"473",391297152,TRUE
"474",391304000,TRUE
"475",391432693,FALSE
"476",391767653,TRUE
"477",391855805,FALSE
"478",391947489,FALSE
"479",391965015,FALSE
"480",392084834,TRUE
"481",392186427,FALSE
